"Dim1","Dim2","Dim3","Dim4","Val"
"0","Bauxite","Othercountries","abs",5700000.00012799
"0","Bauxite","Turkey","ratio",3200000
"0","Bauxite","Turkey","abs",3199999.99999893
"0","Bauxite","Kazakhstan","ratio",4900000
"0","Bauxite","Kazakhstan","abs",4900000.00010949
"0","Bauxite","Indonesia","ratio",32000000
"0","Bauxite","Indonesia","abs",31999999.9999982
"0","Bauxite","Vietnam","ratio",4200000
"0","Bauxite","Vietnam","abs",4200000.00009297
"0","Bauxite","Greece","ratio",1200000
"0","Bauxite","Greece","abs",1200000.00002929
"0","Bauxite","Guinea","ratio",130000000
"0","Bauxite","Guinea","abs",129999999.998658
"0","Bauxite","Jamaica","ratio",6100000
"0","Bauxite","Jamaica","abs",6100000.00013894
"0","Bauxite","SaudiArabia","ratio",5800000
"0","Bauxite","SaudiArabia","abs",5800000.00013025
"10","Aluminum","UnitedStates","ratio",670000
